review,aspect,category
The place itself is beautiful the bar scene seems to be happening.,place,AMBIENCE#GENERAL:positive
The place itself is beautiful the bar scene seems to be happening.,bar scene,AMBIENCE#GENERAL:positive
"Downtown Dinner 2002 - Prixe fix: Appetizers were ok, waiter gave me poor suggestion..try the potato stuff kanish best one.",Appetizers,FOOD#QUALITY:neutral
"Downtown Dinner 2002 - Prixe fix: Appetizers were ok, waiter gave me poor suggestion..try the potato stuff kanish best one.",waiter,SERVICE#GENERAL:negative
"Downtown Dinner 2002 - Prixe fix: Appetizers were ok, waiter gave me poor suggestion..try the potato stuff kanish best one.",potato stuff kanish,FOOD#QUALITY:positive
"Small servings for main entree, i had salmon (wasnt impressed) girlfriend had chicken, it was good.",salmon,FOOD#QUALITY:negative
"Small servings for main entree, i had salmon (wasnt impressed) girlfriend had chicken, it was good.",chicken,FOOD#QUALITY:positive
"Small servings for main entree, i had salmon (wasnt impressed) girlfriend had chicken, it was good.",servings for main entree,FOOD#STYLE_OPTIONS:negative
Dessert is a joke...dont bother,Dessert,FOOD#QUALITY:negative
"Volare virgins or weekly regulars, everyone gets treated the same and you can't ask for more than that when the service is this friendly.",service,SERVICE#GENERAL:positive
"The restaurant has a Family feel, not least with regard to the portions which are enormous; the veal alone could have single-handedly solved third world famine.",feel,AMBIENCE#GENERAL:positive
"The restaurant has a Family feel, not least with regard to the portions which are enormous; the veal alone could have single-handedly solved third world famine.",portions,FOOD#STYLE_OPTIONS:positive
"The restaurant has a Family feel, not least with regard to the portions which are enormous; the veal alone could have single-handedly solved third world famine.",veal,FOOD#STYLE_OPTIONS:positive
"The anti-pasta was excellent, especially the calamari, as were the filling pasta mains.",anti-pasta,FOOD#QUALITY:positive
"The anti-pasta was excellent, especially the calamari, as were the filling pasta mains.",calamari,FOOD#QUALITY:positive
"The anti-pasta was excellent, especially the calamari, as were the filling pasta mains.",pasta mains,FOOD#QUALITY:positive
"The anti-pasta was excellent, especially the calamari, as were the filling pasta mains.",pasta mains,FOOD#STYLE_OPTIONS:positive
The wine list is extensive and can easily hike up an otherwise reasonably priced meal.,wine list,DRINKS#STYLE_OPTIONS:positive
The wine list is extensive and can easily hike up an otherwise reasonably priced meal.,meal,FOOD#PRICES:positive
"Still, any quibbles about the bill were off-set by the pour-your-own measures of liquers which were courtesey of the house...",NULL,RESTAURANT#PRICES:neutral
"Still, any quibbles about the bill were off-set by the pour-your-own measures of liquers which were courtesey of the house...",measures of liquers,DRINKS#STYLE_OPTIONS:positive
Fantastic place.,place,RESTAURANT#GENERAL:positive
Cute and decorative.,NULL,AMBIENCE#GENERAL:positive
A pleasant surprise.,NULL,RESTAURANT#GENERAL:positive
Go there to relax and feel like your somewhere else.,NULL,AMBIENCE#GENERAL:positive
Lucky Strike is a great casual place to just grab a bite to eat.,Lucky Strike,RESTAURANT#GENERAL:positive
"Great food, great decor, great service.",food,FOOD#QUALITY:positive
"Great food, great decor, great service.",decor,AMBIENCE#GENERAL:positive
"Great food, great decor, great service.",service,SERVICE#GENERAL:positive
I recommend it!,NULL,RESTAURANT#GENERAL:positive
"This is the perfect spot for meeting friends, having lunch, dinner, pre-theatre or after-theatre drinks!",spot,RESTAURANT#MISCELLANEOUS:positive
(Always ask the bartender for the SEASONAL beer!!!,SEASONAL beer,DRINKS#QUALITY:positive
Guaranteed to be a tasty experience!),NULL,DRINKS#QUALITY:positive
Excellent spot for holiday get togethers with co-workers or friends that you haven't seen in a while.,spot,RESTAURANT#MISCELLANEOUS:positive
I have been doing all of the above at the Heartland Brewery for over 5 years now and I HAVE NEVER BEEN DISAPPOINTED!,Heartland Brewery,RESTAURANT#GENERAL:positive
All the people that I bring there go back on their own and bring THEIR friends!,NULL,RESTAURANT#MISCELLANEOUS:positive
Go there once and oh yes...you will go back...you will...,NULL,RESTAURANT#GENERAL:positive
What a great place!,place,RESTAURANT#GENERAL:positive
Not the typical NYC gimmick theme restaurant.,restaurant,AMBIENCE#GENERAL:positive
"A cool bar with great food, and tons of excellent beer.",bar,AMBIENCE#GENERAL:positive
"A cool bar with great food, and tons of excellent beer.",food,FOOD#QUALITY:positive
"A cool bar with great food, and tons of excellent beer.",beer,DRINKS#QUALITY:positive
"A cool bar with great food, and tons of excellent beer.",beer,DRINKS#STYLE_OPTIONS:positive
And even with it's Pub atmosphere they were great to my kids too!,NULL,SERVICE#GENERAL:positive
Loved it!,NULL,RESTAURANT#GENERAL:positive
The shrimp scampi was excellent and the antipasti were plentiful.,shrimp scampi,FOOD#QUALITY:positive
The shrimp scampi was excellent and the antipasti were plentiful.,antipasti,FOOD#STYLE_OPTIONS:positive
It is expensive but well worth the money.,NULL,RESTAURANT#PRICES:negative
It is expensive but well worth the money.,NULL,RESTAURANT#GENERAL:positive
"If you venture off the island of Manhattan and can't seem to find a great Italian restaurant, drive to Corona.",Corona,RESTAURANT#GENERAL:positive
The only thing more wonderful than the food (which is exceptional) is the service.,food,FOOD#QUALITY:positive
The only thing more wonderful than the food (which is exceptional) is the service.,service,SERVICE#GENERAL:positive
The only thing the waiters don't do for you is wipe your chin when you leave.,waiters,SERVICE#GENERAL:positive
Wonderful at holiday time.,NULL,RESTAURANT#MISCELLANEOUS:positive
Cozy romantic atomosphere with only around 15 tables at most.,atomosphere,AMBIENCE#GENERAL:positive
Service was very prompt but slightly rushed.,Service,SERVICE#GENERAL:positive
Service was very prompt but slightly rushed.,Service,SERVICE#GENERAL:negative
"Food was very good, but not what I would consider out of this world.",Food,FOOD#QUALITY:neutral
Go here for a romantic dinner but not for an all out wow dining experience.,NULL,AMBIENCE#GENERAL:positive
Go here for a romantic dinner but not for an all out wow dining experience.,NULL,RESTAURANT#MISCELLANEOUS:negative
My friend from Milan and myself were pleasantly surprised when we arrived and everyone spoke italian.,NULL,RESTAURANT#MISCELLANEOUS:positive
Too bad the food wasn't of the same heritage.,food,FOOD#QUALITY:negative
"The porcini mushroom pasta special was tasteless, so was the seafood tagliatelle.",porcini mushroom pasta special,FOOD#QUALITY:negative
"The porcini mushroom pasta special was tasteless, so was the seafood tagliatelle.",seafood tagliatelle,FOOD#QUALITY:negative
A real dissapointment.,NULL,FOOD#QUALITY:negative
But that wasn't the icing on the cake: a tiramisu that resembled nothing I have ever had.,tiramisu,FOOD#QUALITY:negative
They should have called it mascarpone with chocolate chips-good but a far cry from what the name implies.,NULL,FOOD#QUALITY:negative
Priced at upper intermediate range.,NULL,RESTAURANT#PRICES:negative
I really liked this place.,place,RESTAURANT#GENERAL:positive
"Everything I had was good, and I'm a eater.",NULL,FOOD#QUALITY:positive
It was pretty inexpensive too.,NULL,RESTAURANT#PRICES:positive
This place has the best Chinese style BBQ ribs in the city.,BBQ ribs,FOOD#QUALITY:positive
This place has the best Chinese style BBQ ribs in the city.,BBQ ribs,FOOD#STYLE_OPTIONS:positive
I also recommend the rice dishes or the different varieties of congee (rice porridge).,rice dishes,FOOD#QUALITY:positive
I also recommend the rice dishes or the different varieties of congee (rice porridge).,congee (rice porridge),FOOD#QUALITY:positive
It's great to go for a quick lunch either alone or with a friend.,NULL,RESTAURANT#MISCELLANEOUS:positive
It's definately not a place to go if you want to impress someone.,place,RESTAURANT#MISCELLANEOUS:negative
"However, if you want great food at a great price and don't mind the decor, you can't beat this place.",food,FOOD#QUALITY:positive
"However, if you want great food at a great price and don't mind the decor, you can't beat this place.",decor,AMBIENCE#GENERAL:neutral
"However, if you want great food at a great price and don't mind the decor, you can't beat this place.",food,FOOD#PRICES:positive
Quick and friendly service.,service,SERVICE#GENERAL:positive
This is one of the best comfort food places in the city.,NULL,RESTAURANT#GENERAL:positive
It's somewhere you can eat and be happy.,NULL,RESTAURANT#GENERAL:positive
"When you're sitting in their main dining room (which has a spectacular, hand-painted high ceiling) you'd never know there was a world outside.",main dining room,AMBIENCE#GENERAL:positive
"When you're sitting in their main dining room (which has a spectacular, hand-painted high ceiling) you'd never know there was a world outside.",ceiling,AMBIENCE#GENERAL:positive
"The food is wonderful, tasty and filling, and the service is professional and friendly.",food,FOOD#QUALITY:positive
"The food is wonderful, tasty and filling, and the service is professional and friendly.",food,FOOD#STYLE_OPTIONS:positive
"The food is wonderful, tasty and filling, and the service is professional and friendly.",service,SERVICE#GENERAL:positive
"I can't wait for summer, when they serve outside on their gigantic patio.",patio,AMBIENCE#GENERAL:positive
I recently tried Suan and I thought that it was great.,Suan,RESTAURANT#GENERAL:positive
This little place definitely exceeded my expectations and you sure get a lot of food for your money.,food,FOOD#STYLE_OPTIONS:positive
This little place definitely exceeded my expectations and you sure get a lot of food for your money.,place,RESTAURANT#GENERAL:positive
This little place definitely exceeded my expectations and you sure get a lot of food for your money.,food,FOOD#PRICES:positive
The service was fast and friendly and the food was very tasty and they had the best hot sauce to add to your meals.,service,SERVICE#GENERAL:positive
The service was fast and friendly and the food was very tasty and they had the best hot sauce to add to your meals.,food,FOOD#QUALITY:positive
The service was fast and friendly and the food was very tasty and they had the best hot sauce to add to your meals.,hot sauce,FOOD#QUALITY:positive
I have to say that I am pleasantly suprised and I will most likely stop in again if I am in the neighborhood.,NULL,RESTAURANT#GENERAL:positive
They all know you.,NULL,SERVICE#GENERAL:positive
Good food.,food,FOOD#QUALITY:positive
Good drink.,drink,DRINKS#QUALITY:positive
How do you rate home?,NULL,RESTAURANT#MISCELLANEOUS:positive
I have never had cheescake like this.,cheescake,FOOD#QUALITY:positive
I thought I had died and gone to heaven.,NULL,FOOD#QUALITY:positive
"Great spot, whether looking for a couple of drinks or quiet dinner.",spot,RESTAURANT#GENERAL:positive
"Great spot, whether looking for a couple of drinks or quiet dinner.",spot,RESTAURANT#MISCELLANEOUS:positive
Warm and friendly in the winter and terrific outdoor seating in the warmer months.,NULL,AMBIENCE#GENERAL:positive
Warm and friendly in the winter and terrific outdoor seating in the warmer months.,outdoor seating,AMBIENCE#GENERAL:positive
The food is great and they have a good selecion of wines at reasonable prices.,food,FOOD#QUALITY:positive
The food is great and they have a good selecion of wines at reasonable prices.,selecion of wines,DRINKS#STYLE_OPTIONS:positive
The food is great and they have a good selecion of wines at reasonable prices.,selecion of wines,DRINKS#PRICES:positive
Have been several times and it never dissapoints.,NULL,RESTAURANT#GENERAL:positive
We were less than impressed.,NULL,RESTAURANT#GENERAL:negative
"While the ambiance and atmosphere were great, the food and service could have been a lot better.",ambiance,AMBIENCE#GENERAL:positive
"While the ambiance and atmosphere were great, the food and service could have been a lot better.",atmosphere,AMBIENCE#GENERAL:positive
"While the ambiance and atmosphere were great, the food and service could have been a lot better.",food,FOOD#QUALITY:negative
"While the ambiance and atmosphere were great, the food and service could have been a lot better.",service,SERVICE#GENERAL:negative
"We ordered the chicken casserole, but what we got were a few small pieces of chicken, all dark meat and on the bone.",chicken casserole,FOOD#QUALITY:negative
"We ordered the chicken casserole, but what we got were a few small pieces of chicken, all dark meat and on the bone.",chicken casserole,FOOD#STYLE_OPTIONS:negative
Probably would not go again...,NULL,RESTAURANT#GENERAL:negative
"i've been to sapphire twice and both times the food was fine, if not good.",food,FOOD#QUALITY:positive
"stick with the chicken, beef, and lamb dishes.",chicken,FOOD#QUALITY:positive
"stick with the chicken, beef, and lamb dishes.",beef,FOOD#QUALITY:positive
"stick with the chicken, beef, and lamb dishes.",lamb dishes,FOOD#QUALITY:positive
"service is friendly, and never had a problem walking in and getting a table.",service,SERVICE#GENERAL:positive
"service is friendly, and never had a problem walking in and getting a table.",NULL,RESTAURANT#MISCELLANEOUS:positive
skip dessert.,dessert,FOOD#QUALITY:negative
Best Reuben sandwich ever!,Reuben sandwich,FOOD#QUALITY:positive
A classic!,NULL,FOOD#QUALITY:positive
Don't miss Bloom's on your next trip to Manhatten.,Bloom's,RESTAURANT#GENERAL:positive
"It was the first place we ate on our first trip to New York, and it will be the last place we stop as we head out of town on our next trip to New York.",place,RESTAURANT#MISCELLANEOUS:positive
Thanks Bloom's for a lovely trip.,Bloom's,RESTAURANT#GENERAL:positive
"The food was not fresh, the sauces were bland and very oily.",food,FOOD#QUALITY:negative
"The food was not fresh, the sauces were bland and very oily.",sauces,FOOD#QUALITY:negative
It just wasn't Thai.,NULL,FOOD#QUALITY:negative
Was surprisingly disappointed.,NULL,FOOD#QUALITY:negative
Pizza was a little soggy.,Pizza,FOOD#QUALITY:negative
Ravioli was good...but I have to say that I found everything a bit overpriced.,Ravioli,FOOD#QUALITY:positive
Ravioli was good...but I have to say that I found everything a bit overpriced.,NULL,FOOD#PRICES:negative
Not enough wines by the glass either.,wines by the glass,DRINKS#STYLE_OPTIONS:negative
"Service, however, was excellent...and I liked the setting/atmosphere a lot. ",Service,SERVICE#GENERAL:positive
"Service, however, was excellent...and I liked the setting/atmosphere a lot. ",setting/atmosphere,AMBIENCE#GENERAL:positive
"Food was just average...if they lowered the prices just a bit, it would be a bigger draw.",Food,FOOD#QUALITY:neutral
"Food was just average...if they lowered the prices just a bit, it would be a bigger draw.",Food,FOOD#PRICES:negative
This place is a great bargain.,place,RESTAURANT#PRICES:positive
Authentic Pakistani food.,Pakistani food,FOOD#QUALITY:positive
People are always friendly.,People,SERVICE#GENERAL:positive
Don't waste money on decor.,decor,AMBIENCE#GENERAL:neutral
"Just straight up cheap, good food.",food,FOOD#QUALITY:positive
"Just straight up cheap, good food.",food,FOOD#PRICES:positive
Faan is sooo good.,Faan,RESTAURANT#GENERAL:positive
The best pad thai i've ever had.,pad thai,FOOD#QUALITY:positive
The design and atmosphere is just as good.,design,AMBIENCE#GENERAL:positive
The design and atmosphere is just as good.,atmosphere,AMBIENCE#GENERAL:positive
bottles of wine are cheap and good.,bottles of wine,DRINKS#PRICES:positive
bottles of wine are cheap and good.,bottles of wine,DRINKS#QUALITY:positive
What more could you want?,NULL,RESTAURANT#GENERAL:positive
The food was actually aweful.,food,FOOD#QUALITY:negative
I'm not picky - but it was actually gross.,NULL,FOOD#QUALITY:negative
"The mussles were the fishiest things I've ever tasted, the seabass was bland, the goat cheese salad was missing the goat cheese, the penne w/ chicken had bones in it... It was disgusting.",mussles,FOOD#QUALITY:negative
"The mussles were the fishiest things I've ever tasted, the seabass was bland, the goat cheese salad was missing the goat cheese, the penne w/ chicken had bones in it... It was disgusting.",seabass,FOOD#QUALITY:negative
"The mussles were the fishiest things I've ever tasted, the seabass was bland, the goat cheese salad was missing the goat cheese, the penne w/ chicken had bones in it... It was disgusting.",goat cheese salad,FOOD#QUALITY:negative
"The mussles were the fishiest things I've ever tasted, the seabass was bland, the goat cheese salad was missing the goat cheese, the penne w/ chicken had bones in it... It was disgusting.",penne w/ chicken,FOOD#QUALITY:negative
"The mussles were the fishiest things I've ever tasted, the seabass was bland, the goat cheese salad was missing the goat cheese, the penne w/ chicken had bones in it... It was disgusting.",NULL,FOOD#QUALITY:negative
"Nice atmosphere, the service was very pleasant and the desert was good.",atmosphere,AMBIENCE#GENERAL:positive
"Nice atmosphere, the service was very pleasant and the desert was good.",service,SERVICE#GENERAL:positive
"Nice atmosphere, the service was very pleasant and the desert was good.",desert,FOOD#QUALITY:positive
Wouldn't recomend it for dinner!,NULL,RESTAURANT#GENERAL:negative
This is the perfect date spot for Williamsburg couples.,NULL,RESTAURANT#MISCELLANEOUS:positive
The jukebox plays everything from Italian Opera to The Strokes.,jukebox,AMBIENCE#GENERAL:positive
"The food is amazing, rich pastas and fresh doughy pizza.",food,FOOD#QUALITY:positive
"The food is amazing, rich pastas and fresh doughy pizza.",pastas,FOOD#STYLE_OPTIONS:positive
"The food is amazing, rich pastas and fresh doughy pizza.",pizza,FOOD#QUALITY:positive
"Best of all is the warm vibe, the owner is super friendly and service is fast.",vibe,AMBIENCE#GENERAL:positive
"Best of all is the warm vibe, the owner is super friendly and service is fast.",owner,SERVICE#GENERAL:positive
"Best of all is the warm vibe, the owner is super friendly and service is fast.",service,SERVICE#GENERAL:positive
"If only they delivered, they'd make a mint!",NULL,RESTAURANT#MISCELLANEOUS:neutral
go here for the drinks!,drinks,DRINKS#QUALITY:positive
the drinks are amazing and half off till 8pm.,drinks,DRINKS#QUALITY:positive
the drinks are amazing and half off till 8pm.,drinks,DRINKS#PRICES:positive
"Ask for Usha, the nicest bartender in manhattan.",Usha,SERVICE#GENERAL:positive
My fav was the sassy lassi...,sassy lassi,DRINKS#QUALITY:positive
This is an amazing place to try some roti rolls.,roti rolls,FOOD#QUALITY:positive
I really recommend the very simple Unda (Egg) rolls.,Unda (Egg) rolls,FOOD#QUALITY:positive
"Delicate spices, onions, eggs and a kick-ass roti.",spices,FOOD#QUALITY:positive
"Delicate spices, onions, eggs and a kick-ass roti.",onions,FOOD#QUALITY:positive
"Delicate spices, onions, eggs and a kick-ass roti.",eggs,FOOD#QUALITY:positive
"Delicate spices, onions, eggs and a kick-ass roti.",roti,FOOD#QUALITY:positive
Amazing!,NULL,FOOD#QUALITY:positive
"Toons has recently been redone, so it's now a very attractive space.",Toons,AMBIENCE#GENERAL:positive
The food's as good as ever.,food,FOOD#QUALITY:positive
"In an area sadly lacking in decent Thai food, this is one of the best spots.",Thai food,FOOD#QUALITY:positive
"Went here last night - nice decor, good service, but the food was surprisingly excellent.",decor,AMBIENCE#GENERAL:positive
"Went here last night - nice decor, good service, but the food was surprisingly excellent.",service,SERVICE#GENERAL:positive
"Went here last night - nice decor, good service, but the food was surprisingly excellent.",food,FOOD#QUALITY:positive
"The portions are HUGE, so it might be good to order three things to split (rather than one appetizer and entree per person) for two people.",portions,FOOD#STYLE_OPTIONS:positive
Can't wait to go back.,NULL,RESTAURANT#GENERAL:positive
Best drumsticks over rice and sour spicy soup in town!,drumsticks over rice,FOOD#QUALITY:positive
Best drumsticks over rice and sour spicy soup in town!,sour spicy soup,FOOD#QUALITY:positive
Beef noodle soup is good as well.,Beef noodle soup,FOOD#QUALITY:positive
The service is good and the resturant is clean.,service,SERVICE#GENERAL:positive
The service is good and the resturant is clean.,resturant,AMBIENCE#GENERAL:positive
Best Taiwanese food in NY!,Taiwanese food,FOOD#QUALITY:positive
I have been to Rao's probably 15 times the past 3 years and it keeps getting better.,Rao's,RESTAURANT#GENERAL:positive
"For those that go once and don't enjoy it, all I can say is that they just don't get it.",NULL,RESTAURANT#GENERAL:positive
Rao's has the best service and atmosphere in NYC.,service,SERVICE#GENERAL:positive
Rao's has the best service and atmosphere in NYC.,atmosphere,AMBIENCE#GENERAL:positive
Good luck getting a table.,NULL,RESTAURANT#MISCELLANEOUS:neutral
My roommate and I LOVE this place.,place,RESTAURANT#GENERAL:positive
"We recently decided to try this location, and to our delight, they have outdoor seating, perfect since I had my yorkie with me.",outdoor seating,AMBIENCE#GENERAL:positive
Indoor was very cozy and cute.,Indoor,AMBIENCE#GENERAL:positive
"The portion sizes here are huge, and the sushi is good.",portion,FOOD#STYLE_OPTIONS:positive
"The portion sizes here are huge, and the sushi is good.",sushi,FOOD#QUALITY:positive
Staff is very accomodating.,Staff,SERVICE#GENERAL:positive
"Excellent dumplings served amid clean, chic decor.",dumplings,FOOD#QUALITY:positive
"Excellent dumplings served amid clean, chic decor.",decor,AMBIENCE#GENERAL:positive
"I got the $10 10-piece dim sum combo, every bite of which was great.",$10 10-piece dim sum combo,FOOD#QUALITY:positive
But $1 for each small piece???,NULL,FOOD#PRICES:negative
Not worth it.,NULL,FOOD#PRICES:negative
I won't go back unless someone else is footing the bill.,NULL,RESTAURANT#GENERAL:negative
I won't go back unless someone else is footing the bill.,NULL,RESTAURANT#PRICES:negative
The decor is very simple but comfortable.,decor,AMBIENCE#GENERAL:positive
The food was delicious but do not come here on a empty stomach.,food,FOOD#QUALITY:positive
The food was delicious but do not come here on a empty stomach.,food,FOOD#STYLE_OPTIONS:negative
The portions are small but being that the food was so good makes up for that.,portions,FOOD#STYLE_OPTIONS:negative
The portions are small but being that the food was so good makes up for that.,food,FOOD#QUALITY:positive
You must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert.,crabmeat lasagna,FOOD#QUALITY:positive
You must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert.,chocolate bread pudding,FOOD#QUALITY:positive
The staff there is very attentive and down to earth.,staff,SERVICE#GENERAL:positive
I loved it and would go again.,NULL,RESTAURANT#GENERAL:positive
Great Indian food and the service is incredible.,Indian food,FOOD#QUALITY:positive
Great Indian food and the service is incredible.,service,SERVICE#GENERAL:positive
The owner truly caters to all your needs.,owner,SERVICE#GENERAL:positive
"When family came in he gave them apps to test their palets, and then ordered for them.",NULL,SERVICE#GENERAL:positive
Everyone was more then happy with his choices.,NULL,SERVICE#GENERAL:positive
Great food and the prices are very reasonable.,food,FOOD#QUALITY:positive
Great food and the prices are very reasonable.,NULL,RESTAURANT#PRICES:positive
The food here does a great service to the name (Cantonese that is...).,food,FOOD#QUALITY:positive
I fell in love with the egg noodles in the beef broth with shrimp dumplings and slices of BBQ roast pork.,egg noodles in the beef broth with shrimp dumplings and slices of BBQ roast pork,FOOD#QUALITY:positive
This dish is my favorite and I always get it when I go there and never get tired of it.,dish,FOOD#QUALITY:positive
"Try the congee and the donut like deep fried dough they call Ow Ley Soh, a delicious and sweet tasting bread.",congee,FOOD#QUALITY:positive
"Try the congee and the donut like deep fried dough they call Ow Ley Soh, a delicious and sweet tasting bread.",Ow Ley Soh,FOOD#QUALITY:positive
Simply some good tasting Chinese food at incredible prices...,Chinese food,FOOD#QUALITY:positive
Simply some good tasting Chinese food at incredible prices...,Chinese food,FOOD#PRICES:positive
Service is not what you are coming here for...,Service,SERVICE#GENERAL:negative
Big Wong is a great place to eat and fill your stomach.,Big Wong,RESTAURANT#GENERAL:positive
"whoever the jazz duo was, they were on POINT.",jazz duo,AMBIENCE#GENERAL:positive
"good music, great food, speedy service affordable prices.",music,AMBIENCE#GENERAL:positive
"good music, great food, speedy service affordable prices.",food,FOOD#QUALITY:positive
"good music, great food, speedy service affordable prices.",service,SERVICE#GENERAL:positive
"good music, great food, speedy service affordable prices.",NULL,RESTAURANT#PRICES:positive
even the wine by the glass was good.,wine by the glass,DRINKS#QUALITY:positive
"its a little out of the way if you don't live in the neighborhood, but definitely worth the trip from wherever you are.",NULL,LOCATION#GENERAL:neutral
"its a little out of the way if you don't live in the neighborhood, but definitely worth the trip from wherever you are.",NULL,RESTAURANT#GENERAL:positive
Consistently good Japanese Tapas.,Japanese Tapas,FOOD#QUALITY:positive
Always good drinks and service is pretty good;,drinks,DRINKS#QUALITY:positive
Always good drinks and service is pretty good;,service,SERVICE#GENERAL:positive
Atmosphere is nice and relaxed too...,Atmosphere,AMBIENCE#GENERAL:positive
A great place to meet up for some food and drinks...  ,place,RESTAURANT#MISCELLANEOUS:positive
Yakitori (bbq meats) is tasty too.,Yakitori (bbq meats),FOOD#QUALITY:positive
"If you don't mind pre-sliced low quality fish, unfriendly staff and a sushi chef that looks like he is miserable then this is your place.",fish,FOOD#QUALITY:negative
"If you don't mind pre-sliced low quality fish, unfriendly staff and a sushi chef that looks like he is miserable then this is your place.",staff,SERVICE#GENERAL:negative
"If you don't mind pre-sliced low quality fish, unfriendly staff and a sushi chef that looks like he is miserable then this is your place.",sushi chef,RESTAURANT#MISCELLANEOUS:negative
Price and quality of fish alone will keep us from making a return visit.,fish,FOOD#PRICES:negative
Price and quality of fish alone will keep us from making a return visit.,fish,FOOD#QUALITY:negative
Price and quality of fish alone will keep us from making a return visit.,NULL,RESTAURANT#GENERAL:negative
Wasn't going to share but I feel obligated...while sitting at the sushi bar dining we watched the chef accidentally drop a piece of Unagi on the floor and upon retrieving it from the floor proceed to use the piece in the delivery order he was preparing.,chef,FOOD#QUALITY:negative
No thanks!!!,NULL,RESTAURANT#GENERAL:negative
"This place, which is only a few months old, is perhaps Queens' biggest secret!",place,RESTAURANT#GENERAL:positive
"Fabulous decor - makes you feel like you're in a trendy Manhattan restaurant, very very good food, cheaply-priced, generally friendly staff, and if you're a Manhattanite, or spend most of your time in Manhattan, Rice Avenue will make you feel at home.....very Soho/Village/Upper West Side minus the expensive prices and pretentious clientele.....all on Roosevelt Avenue!",decor,AMBIENCE#GENERAL:positive
"Fabulous decor - makes you feel like you're in a trendy Manhattan restaurant, very very good food, cheaply-priced, generally friendly staff, and if you're a Manhattanite, or spend most of your time in Manhattan, Rice Avenue will make you feel at home.....very Soho/Village/Upper West Side minus the expensive prices and pretentious clientele.....all on Roosevelt Avenue!",food,FOOD#QUALITY:positive
"Fabulous decor - makes you feel like you're in a trendy Manhattan restaurant, very very good food, cheaply-priced, generally friendly staff, and if you're a Manhattanite, or spend most of your time in Manhattan, Rice Avenue will make you feel at home.....very Soho/Village/Upper West Side minus the expensive prices and pretentious clientele.....all on Roosevelt Avenue!",food,FOOD#PRICES:positive
"Fabulous decor - makes you feel like you're in a trendy Manhattan restaurant, very very good food, cheaply-priced, generally friendly staff, and if you're a Manhattanite, or spend most of your time in Manhattan, Rice Avenue will make you feel at home.....very Soho/Village/Upper West Side minus the expensive prices and pretentious clientele.....all on Roosevelt Avenue!",staff,SERVICE#GENERAL:positive
"Fabulous decor - makes you feel like you're in a trendy Manhattan restaurant, very very good food, cheaply-priced, generally friendly staff, and if you're a Manhattanite, or spend most of your time in Manhattan, Rice Avenue will make you feel at home.....very Soho/Village/Upper West Side minus the expensive prices and pretentious clientele.....all on Roosevelt Avenue!",Rice Avenue,AMBIENCE#GENERAL:positive
"Fabulous decor - makes you feel like you're in a trendy Manhattan restaurant, very very good food, cheaply-priced, generally friendly staff, and if you're a Manhattanite, or spend most of your time in Manhattan, Rice Avenue will make you feel at home.....very Soho/Village/Upper West Side minus the expensive prices and pretentious clientele.....all on Roosevelt Avenue!",Rice Avenue,LOCATION#GENERAL:positive
"Fabulous decor - makes you feel like you're in a trendy Manhattan restaurant, very very good food, cheaply-priced, generally friendly staff, and if you're a Manhattanite, or spend most of your time in Manhattan, Rice Avenue will make you feel at home.....very Soho/Village/Upper West Side minus the expensive prices and pretentious clientele.....all on Roosevelt Avenue!",Rice Avenue,RESTAURANT#PRICES:positive
We were seated outside and the waiter spilled red wine and hot tea on myself and my date.,waiter,SERVICE#GENERAL:negative
We were then shooed inside.,NULL,SERVICE#GENERAL:negative
"One would think we'd get an apology or complimentary drinks - instead, we got a snobby waiter wouldn't even take our order for 15 minutes and gave us lip when we asked him to do so.",waiter,SERVICE#GENERAL:negative
"We left, never to return.",NULL,RESTAURANT#GENERAL:negative
"With so many good restaurants on the UWS, I don't need overpriced food, absurdly arrogant wait-staff who don't recognize they work at a glorified diner, clumsy service, and management that doesn't care.",food,FOOD#PRICES:negative
"With so many good restaurants on the UWS, I don't need overpriced food, absurdly arrogant wait-staff who don't recognize they work at a glorified diner, clumsy service, and management that doesn't care.",wait-staff,SERVICE#GENERAL:negative
"With so many good restaurants on the UWS, I don't need overpriced food, absurdly arrogant wait-staff who don't recognize they work at a glorified diner, clumsy service, and management that doesn't care.",service,SERVICE#GENERAL:negative
"With so many good restaurants on the UWS, I don't need overpriced food, absurdly arrogant wait-staff who don't recognize they work at a glorified diner, clumsy service, and management that doesn't care.",management,SERVICE#GENERAL:negative
I am relatively new to the area and tried Pick a bgel on 2nd and was disappointed with the service and I thought the food was overated and on the pricey side.,service,SERVICE#GENERAL:negative
I am relatively new to the area and tried Pick a bgel on 2nd and was disappointed with the service and I thought the food was overated and on the pricey side.,food,FOOD#PRICES:negative
I am relatively new to the area and tried Pick a bgel on 2nd and was disappointed with the service and I thought the food was overated and on the pricey side.,food,FOOD#QUALITY:negative
The food is okay and the prices here are mediocre.,food,FOOD#QUALITY:neutral
The food is okay and the prices here are mediocre.,NULL,RESTAURANT#PRICES:neutral
Baluchi's has solid food and a nice decor at reasonable prices.,food,FOOD#QUALITY:positive
Baluchi's has solid food and a nice decor at reasonable prices.,decor,AMBIENCE#GENERAL:positive
Baluchi's has solid food and a nice decor at reasonable prices.,Baluchi's,RESTAURANT#PRICES:positive
